DATE,16-19m,20-24m,25-34m,35-44m,45-54m,55-64m,65plusm
01/06/1992,923,948,1602,1115,727,406,82
01/07/1992,814,956,1494,1129,693,384,59
01/08/1992,821,919,1574,1142,697,367,62
01/09/1992,863,917,1573,1148,664,338,62
01/10/1992,728,921,1564,1158,654,350,67
01/11/1992,815,956,1505,1126,654,346,55
01/12/1992,801,929,1410,1116,660,356,46
01/01/1993,785,906,1390,1056,658,374,59
01/02/1993,784,914,1389,1074,658,401,50
01/03/1993,791,877,1407,1085,688,382,75
01/04/1993,797,892,1343,1067,682,344,45
01/05/1993,773,961,1340,1060,631,350,48
01/06/1993,815,882,1434,1082,635,295,59
01/07/1993,763,859,1351,1055,641,328,53
01/08/1993,765,849,1339,999,627,311,90
01/09/1993,728,828,1280,1023,637,335,75
01/10/1993,750,821,1272,1072,624,309,67
01/11/1993,753,785,1241,998,533,299,58
01/12/1993,720,764,1212,999,576,304,82
01/01/1994,812,843,1272,946,548,358,90
01/02/1994,758,802,1269,941,593,366,92
01/03/1994,740,818,1175,955,489,343,86
01/04/1994,787,799,1173,853,519,306,73
01/05/1994,776,764,1123,791,465,284,84
01/06/1994,731,751,1058,840,550,243,84
01/07/1994,751,778,1093,840,554,261,110
01/08/1994,728,795,1068,851,541,261,103
01/09/1994,737,714,1002,842,505,241,72
01/10/1994,706,720,1053,807,510,248,99
01/11/1994,624,719,974,767,512,243,91
01/12/1994,731,665,991,765,463,220,70
01/01/1995,684,683,1045,844,429,271,112
01/02/1995,770,611,927,796,448,264,82
01/03/1995,668,658,887,757,508,268,82
01/04/1995,730,651,965,845,472,272,91
01/05/1995,744,657,1048,865,460,248,91
01/06/1995,746,674,951,824,452,219,91
01/07/1995,762,662,950,813,460,234,84
01/08/1995,783,764,921,844,464,204,105
01/09/1995,756,709,1002,742,458,211,124
01/10/1995,765,672,839,800,463,189,96
01/11/1995,748,660,989,855,471,216,98
01/12/1995,770,686,1002,803,481,196,66
01/01/1996,747,688,1011,765,478,255,96
01/02/1996,715,737,960,772,504,250,85
01/03/1996,743,714,984,803,482,281,64
01/04/1996,744,703,958,859,511,194,76
01/05/1996,737,740,952,788,518,218,80
01/06/1996,698,692,927,743,461,214,82
01/07/1996,811,686,911,769,434,263,74
01/08/1996,722,575,809,767,469,202,86
01/09/1996,695,629,829,828,492,217,59
01/10/1996,747,609,812,758,493,174,79
01/11/1996,736,640,828,824,494,213,59
01/12/1996,704,640,776,757,472,201,66
01/01/1997,731,727,784,831,502,237,97
01/02/1997,717,616,811,823,460,247,82
01/03/1997,732,644,817,778,454,277,76
01/04/1997,719,638,823,803,441,234,40
01/05/1997,656,562,793,648,470,192,71
01/06/1997,767,591,789,734,476,213,60
01/07/1997,722,580,733,712,464,216,53
01/08/1997,726,610,784,676,440,193,82
01/09/1997,686,653,745,693,448,185,71
01/10/1997,674,668,673,692,490,190,59
01/11/1997,648,675,732,614,398,201,61
01/12/1997,552,656,741,698,436,219,76
01/01/1998,662,628,691,660,424,255,72
01/02/1998,685,625,705,577,427,225,72
01/03/1998,697,590,741,628,458,244,78
01/04/1998,584,547,652,567,445,184,67
01/05/1998,697,585,650,597,431,164,59
01/06/1998,679,584,682,631,447,173,49
01/07/1998,698,600,760,611,441,193,83
01/08/1998,669,619,695,628,398,169,61
01/09/1998,754,645,721,603,392,208,67
01/10/1998,726,528,727,616,380,174,73
01/11/1998,701,484,692,571,377,215,71
01/12/1998,675,533,673,608,399,210,71
01/01/1999,715,533,654,573,395,263,58
01/02/1999,611,548,664,612,455,259,69
01/03/1999,659,508,605,521,386,236,63
01/04/1999,634,565,638,562,386,203,54
01/05/1999,621,580,623,653,381,170,73
01/06/1999,615,607,628,612,367,171,70
01/07/1999,613,601,618,601,377,214,86
01/08/1999,572,562,664,588,399,187,79
01/09/1999,634,540,614,580,407,187,97
01/10/1999,628,590,646,520,411,182,73
01/11/1999,644,539,592,504,415,190,54
01/12/1999,657,581,528,529,449,177,63
01/01/2000,625,552,592,544,414,222,76
01/02/2000,641,549,636,605,390,221,106
01/03/2000,557,548,621,561,344,236,91
01/04/2000,596,541,571,538,352,179,82
01/05/2000,578,605,637,522,363,156,76
01/06/2000,610,510,573,597,400,138,61
01/07/2000,599,537,623,517,407,163,85
01/08/2000,656,515,565,540,457,192,66
01/09/2000,573,528,610,535,428,156,109
01/10/2000,550,555,604,549,417,187,78
01/11/2000,568,555,586,573,402,226,65
01/12/2000,611,559,606,583,415,195,95
01/01/2001,671,590,668,578,441,291,74
01/02/2001,641,633,633,601,460,289,63
01/03/2001,590,672,670,628,473,273,85
01/04/2001,615,651,712,668,503,245,49
